suburb,address,sale_price,bedrooms,bathrooms,parking,property_type,listed_area_m2,sale_date,source_url,source_name,property_type_ml
Blacktown,25/8-10 Fourth Avenue,415000,2,1,1,Unit,109,16-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
Blacktown,7 Highlands Crescent,1135000,3,2,4,House,765,15-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,House
Blacktown,81 Reservoir Road,1105000,4,2,2,House,,15-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,House
Blacktown,17 St Pauls Way,828000,3,2,1,Townhouse,,15-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Townhouse
Blacktown,4 & 4A Joseph Street,1340000,5,2,1,House,713,14-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,House
Blacktown,3/28 Frederick Street,732500,2,1,1,Townhouse,,14-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Townhouse
Blacktown,3/130 Newton Road,700000,2,1,1,Townhouse,98,14-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Townhouse
Blacktown,42 Burke Street,1260000,5,3,6,House,,11-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,House
Blacktown,2/15 Balmoral Street,650000,2,1,1,Townhouse,,10-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Townhouse
Blacktown,20/5-9 Fourth Avenue,441000,2,1,1,Apartment,,10-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
Blacktown,36/2-4 Fourth Avenue,415000,2,1,1,Unit,103,10-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
Blacktown,13/8-18 Wallace Street,463000,2,2,1,Apartment,,09-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
Blacktown,52 Balmoral Street,1300000,4,1,1,House,696.77,08-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,House
Blacktown,72/25 Mantaka Street,415000,2,1,1,Unit,63,07-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
Blacktown,5/28-30 Fourth Avenue,460000,2,1,1,Apartment,,04-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
Blacktown,9 Kirkman Road,1070000,4,1,2,House,638,03-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,House
Blacktown,11/130 Main Street,375000,1,1,1,Apartment,,02-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
Blacktown,17 Carinya Street,1600000,3,1,1,House,1182.4,01-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,House
Blacktown,1103/5 Second Avenue,420000,2,2,1,Apartment,,01-09-2026,https://www.realestate.com.au/sold/in-blacktown%2B%2C%2Bnsw%2B2148/list-1,realestate.com.au,Apartment
